"","work","signature"
"174","1840_310_Анордист Н._Сказка о прекрасной царевне","nlr_1"
"175","1840_311_Дьячков С._Сказка о найденном алмазе","nlr_1"
"176","1840_317_Лизандер Д._Запорожцы : Поэма в 2 ч. / Соч. Д. фон-Лизандера","nlr_1"
"177","1840_317_Лизандер Д._Запорожцы : Поэма в 2 ч. / Соч. Д. фон-Лизандера","roz_1"
"178","1840_323_Мятлев И.П._Сенсации и замечания госпожи Курдюковой за границею, дан лэтранже. Тамбов","nlr_1"
"179","1840_323_Мятлев И.П._Сенсации и замечания госпожи Курдюковой за границею, дан лэтранже. Тамбов","rsl"
"180","1840_323_Мятлев И.П._Сенсации и замечания госпожи Курдюковой за границею, дан лэтранже. Тамбов","roz_1"
"181","1840_323_Мятлев И.П._Сенсации и замечания госпожи Курдюковой за границею, дан лэтранже. Тамбов","pl_bn"
"182","1840_336_Н-в И._Леонид, или Ночная лампада : Стихотвор. рассказ","nlr_1"
"183","1840_336_Н-в И._Леонид, или Ночная лампада : Стихотвор. рассказ","rsl"
"184","1840_337_И. Д._Семь столов для бедных в богоблагословенной Москве : [В стихах]","nlr_1"
"185","1840_338_NA_Донской козак : Воспоминание об отечеств. войне : [В стихах] / 2-е изд.","nlr_1"
"186","1840_340_Оранский Н.Д._Песнь русского барда","nlr_1"
"187","1840_340_Оранский Н.Д._Песнь русского барда","rsl"
"188","1840_340_Оранский Н.Д._Песнь русского барда","roz_1"
"189","1840_341_Васильев М._Провинциал в Москве, или послание к друзьям моим, в стихах. Соч. крестьянина Васильева","nlr_1"
"190","1840_341_Васильев М._Провинциал в Москве, или послание к друзьям моим, в стихах. Соч. крестьянина Васильева","rsl"
"191","1840_341_Васильев М._Провинциал в Москве, или послание к друзьям моим, в стихах. Соч. крестьянина Васильева","cz_slk"
"192","1838_345_Олин В._Странный бал. Повесть из рассказов на станции, и восемь стихотворений. Сочинение В. Олина","nlr_1"
"193","1838_345_Олин В._Странный бал. Повесть из рассказов на станции, и восемь стихотворений. Сочинение В. Олина","rsl"
"194","1838_345_Олин В._Странный бал. Повесть из рассказов на станции, и восемь стихотворений. Сочинение В. Олина","roz_1"
"195","1838_345_Олин В._Странный бал. Повесть из рассказов на станции, и восемь стихотворений. Сочинение В. Олина","cz_slk"
"196","1838_345_Олин В._Странный бал. Повесть из рассказов на станции, и восемь стихотворений. Сочинение В. Олина","lt_vul"
"197","1839_351_Глинка Ф.Н._1812 год : (Отр. из рассказа) : [В стихах]","nlr_1"
"198","1839_351_Глинка Ф.Н._1812 год : (Отр. из рассказа) : [В стихах]","rsl"
"199","1841_359_NA_Поэма о Сотворении мира","nlr_1"
"200","1841_359_NA_Поэма о Сотворении мира","rsl"
"201","1841_363_Фукс А._Княжна Хабиба, повесть в стихах, взятая из татарских преданий Александрою Фукс","roz_1"
"202","1841_363_Фукс А._Княжна Хабиба, повесть в стихах, взятая из татарских преданий Александрою Фукс","cz_slk"
"203","1841_363_Фукс А._Княжна Хабиба, повесть в стихах, взятая из татарских преданий Александрою Фукс","fi_sl"
"204","1841_365_Алексеев П._Мель-дона : Повесть в стихах","nlr_1"
"205","1841_365_Алексеев П._Мель-дона : Повесть в стихах","pl_bn"
"206","1841_365_Алексеев П._Мель-дона : Повесть в стихах","pl_buw"
"207","1841_366_Я. А._Русская повесть в стихах, взятая из преданий 16 столетия","nlr_1"
"208","1841_367_Молчанов Н._Ангелина : Повесть в 3 ч. [в стихах]","nlr_1"
"209","1841_367_Молчанов Н._Ангелина : Повесть в 3 ч. [в стихах]","rsl"
"210","1841_375_NA_Баба-Яга, костяная нога : Русская, народная сказка, в стихах. В осьми главах","nlr_1"
"211","1841_375_NA_Баба-Яга, костяная нога : Русская, народная сказка, в стихах. В осьми главах","rsl"
"212","1841_376_Голодников К._Ковер самолет : Рус. сказка : В 3 ч.","nlr_1"
"213","1841_389_NA_Виолетта или Феины сказки : [В стихах]","nlr_1"
"214","1841_389_NA_Виолетта или Феины сказки : [В стихах]","rsl"
"215","1842_398_Горев М._Багир хан : Татар. предание [в стихах]","nlr_1"
"216","1842_398_Горев М._Багир хан : Татар. предание [в стихах]","lt_vul"
"217","1842_399_Зотов В._Последний хеак : Поэма","nlr_1"
"218","1842_399_Зотов В._Последний хеак : Поэма","fi_sl"
"219","1842_408_И.Ф. До…ча…ва_Ролланд и Шарлота : Роман в стихах","nlr_1"
"220","1842_413_Алипанов Е._Духовная повесть / 2-е изд.","nlr_1"
"221","1843_419_Алипанов Е._Сказка о мельнике колдуне, о двух жидках и о двух батраках / 3-е изд.","nlr_1"
"222","1842_421_NA_Мечта : Рассказ в стихах.","nlr_1"
"223","1843_432_Дьячков С._Кошка-вор : Забавная быль в стихах / Соч. Семена Дьячкова.","nlr_1"
"224","1843_433_Куражсковский М._Бедокур : Рус. сказка / Соч. Михаила Куражсковского.","nlr_1"
"225","1843_433_Куражсковский М._Бедокур : Рус. сказка / Соч. Михаила Куражсковского.","rsl"
"226","1843_446_NA_Волшебный замок или Сказка о знаменитом рыцаре Родриге и о волшебнике Роасе, продавшем душу свою демону.","nlr_1"
"227","1843_447_Т. Л._Параша : Рассказ в стихах : Писано в нач. 1843 г.","nlr_1"
"228","1843_447_Т. Л._Параша : Рассказ в стихах : Писано в нач. 1843 г.","rsl"
"229","1843_450_NA_Исповедь : [Отрывки из поэмы].","nlr_1"
"230","1844_453_Жуковский В.А._Наль и Дамаянти, индейская повесть В.А. Жуковского / Рис. по распоряжению автора вып. г. Майделем","nlr_1"
"231","1844_453_Жуковский В.А._Наль и Дамаянти, индейская повесть В.А. Жуковского / Рис. по распоряжению автора вып. г. Майделем","rsl"
"232","1844_453_Жуковский В.А._Наль и Дамаянти, индейская повесть В.А. Жуковского / Рис. по распоряжению автора вып. г. Майделем","roz_1"
"233","1844_453_Жуковский В.А._Наль и Дамаянти, индейская повесть В.А. Жуковского / Рис. по распоряжению автора вып. г. Майделем","us_harvard"
"234","1844_453_Жуковский В.А._Наль и Дамаянти, индейская повесть В.А. Жуковского / Рис. по распоряжению автора вып. г. Майделем","cz_slk"
"235","1844_459_Потапов В._Мужичок с ноготок, борода с локоток : Рус. сказка в 2 ч. (в стихах) / Соч. Василия Потапова.","nlr_1"
"236","1844_459_Потапов В._Мужичок с ноготок, борода с локоток : Рус. сказка в 2 ч. (в стихах) / Соч. Василия Потапова.","roz_1"
"237","1844_459_Потапов В._Мужичок с ноготок, борода с локоток : Рус. сказка в 2 ч. (в стихах) / Соч. Василия Потапова.","fi_sl"
"238","1844_464_NA_Горный охотник : Поэма [в стихах].","nlr_1"
"239","1844_464_NA_Горный охотник : Поэма [в стихах].","rsl"
"240","1844_464_NA_Горный охотник : Поэма [в стихах].","roz_1"
"241","1844_464_NA_Горный охотник : Поэма [в стихах].","fi_sl"
"242","1844_465_Григорий Коб…ов_Король Энцио : Повесть в стихах, Григория Коб...ова.","nlr_1"
"243","1844_465_Григорий Коб…ов_Король Энцио : Повесть в стихах, Григория Коб...ова.","rsl"
"244","1844_472_NA_Наказанный колдун : Сказка в стихах.","nlr_1"
"245","1844_473_Бенкен И.Ф._Сказка о царе-горбуне и о колдунье Чертоухе / Соч. И.Ф. Бенкен.","nlr_1"
"246","1844_479_NA_Убиение страшного змея Георгием Победоносцем и обращение жителей города Вирита к истинному богу : В 4 песнях.","nlr_1"
"247","1844_484_Трегубов Е._Очерки картин из русской истории и народного предания : Стихотворение Е. Трегубова : В 3 [!4] отд-ниях","nlr_1"
"248","1844_484_Трегубов Е._Очерки картин из русской истории и народного предания : Стихотворение Е. Трегубова : В 3 [!4] отд-ниях","rsl"
"249","1844_485_Гончаровский Е._Москва и Кавказ : Повествоват. рассказ : Стихотворение Е... Гончаровского.","nlr_1"
"250","1844_485_Гончаровский Е._Москва и Кавказ : Повествоват. рассказ : Стихотворение Е... Гончаровского.","rsl"
"251","1844_486_NA_Тетушкины мемуары : [В стихах]","nlr_1"
"252","1844_486_NA_Тетушкины мемуары : [В стихах]","rsl"
"253","1844_487_С. С._Вечер в клубе : Шуточ. рассказ в стихах / Соч. С. С. - 2-е изд. с доп. [С изд. 1839 г.]","nlr_1"
"254","1844_487_С. С._Вечер в клубе : Шуточ. рассказ в стихах / Соч. С. С. - 2-е изд. с доп. [С изд. 1839 г.]","rsl"
"255","1844_488_NA_Записки молодого человека : В стихах. Кн. 1","nlr_1"
"256","1844_489_Мятлев И._Тарантелла","nlr_1"
"257","1844_489_Мятлев И._Тарантелла","rsl"
"258","1845_494_Майков А._Две судьбы : Быль","nlr_1"
"259","1845_494_Майков А._Две судьбы : Быль","rsl"
"260","1845_494_Майков А._Две судьбы : Быль","roz_1"
"261","1845_494_Майков А._Две судьбы : Быль","us_harvard"
"262","1845_494_Майков А._Две судьбы : Быль","fi_sl"
"263","1845_499_Варвара Лизо…б_Зюлейка : Повесть в стихах / Соч. Варвары Лизо..б","nlr_1"
"264","1845_499_Варвара Лизо…б_Зюлейка : Повесть в стихах / Соч. Варвары Лизо..б","rsl"
"265","1845_500_Сергиевский Д._Пан Дольский, или Свидание с дочерью : Повесть в стихах / Соч. Д. Сергиевского","nlr_1"
"266","1845_500_Сергиевский Д._Пан Дольский, или Свидание с дочерью : Повесть в стихах / Соч. Д. Сергиевского","cz_slk"
"267","1845_500_Сергиевский Д._Пан Дольский, или Свидание с дочерью : Повесть в стихах / Соч. Д. Сергиевского","fi_sl"
"268","1845_504_Поспелов А._Старик колдун, по прозванью Чортов-Ум : Новейшая нар. рус. сказка [в стихах] Алексея Поспелова","nlr_1"
"269","1845_505_NA_Жизнь без горя и печали : Солдатск. сказка Ива Меркулыча Щираго","nlr_1"
"270","1845_505_NA_Жизнь без горя и печали : Солдатск. сказка Ива Меркулыча Щираго","rsl"
"271","1845_508_Телегин В._Сказка о царевиче Емельяне Емельяновиче, сынке Емелюшки : В стихах / Соч. штабс-кап. Телегина.","nlr_1"
"272","1845_511_Телегин В._Омирова Ватрахомиомахия, или Война лягушек и мышей, переложенная в стихи штабс-капитаном Телегиным.","nlr_1"
"273","1845_511_Телегин В._Омирова Ватрахомиомахия, или Война лягушек и мышей, переложенная в стихи штабс-капитаном Телегиным.","rsl"
"274","1845_512_М. С._Смоленский рынок в Москве : Картина прошедшего времени / Соч. [в стихах] М.С... 1845","nlr_1"
"275","1845_513_Иверсен А._Старина : Рассказ в стихах / Соч. А. Иверсена","nlr_1"
"276","1845_514_Бутович А._Эрнест : Повесть в стихах / Соч. А. Бутовича","nlr_1"
"277","1845_515_Потапов В._Кот в сапогах : Рус. нар. сказка в 3 ч. (в стихах) / Соч. В.Ф. Потапова, авт. сказки Мужичок с ноготок, борода с локоток","nlr_1"
"278","1845_522_Кузмичев Ф._Спасенная Ниневия пророчеством Ионы : Поэма в 4 песнях / Соч. авт. Сына природы, Федота Кузмичева. / 3-е изд., [печ. с изд. 1841 г. без перемены]","nlr_1"
"279","1845_522_Кузмичев Ф._Спасенная Ниневия пророчеством Ионы : Поэма в 4 песнях / Соч. авт. Сына природы, Федота Кузмичева. / 3-е изд., [печ. с изд. 1841 г. без перемены]","rsl"
"280","1845_525_Языков Н._Отрок Вячко : [Поэма]","nlr_1"
"281","1846_531_Потапов В._Кузнецкий мост : (В стихах) / Соч. Василия Потапова","nlr_1"
"282","1846_531_Потапов В._Кузнецкий мост : (В стихах) / Соч. Василия Потапова","rsl"
"283","1846_531_Потапов В._Кузнецкий мост : (В стихах) / Соч. Василия Потапова","roz_1"
"284","1846_534_Ваненко И._Бричка, или Обратный путь с Парнаса : (Басни иного манера и комедия на другую стать) / Соч. писателя, желающего остаться неизвестным; Обнаружены читающей публике Иваном Ваненко","nlr_1"
"285","1846_534_Ваненко И._Бричка, или Обратный путь с Парнаса : (Басни иного манера и комедия на другую стать) / Соч. писателя, желающего остаться неизвестным; Обнаружены читающей публике Иваном Ваненко","rsl"
"286","1846_539_Н. Авораж_Сказка о заколдованном царе / Соч. Н. Авораж","nlr_1"
"287","1846_539_Н. Авораж_Сказка о заколдованном царе / Соч. Н. Авораж","rsl"
"288","1846_539_Н. Авораж_Сказка о заколдованном царе / Соч. Н. Авораж","roz_1"
"289","1846_540_NA_Правосудие и взятка : Сказка в 2 гл. [в стихах]","nlr_1"
"290","1846_540_NA_Правосудие и взятка : Сказка в 2 гл. [в стихах]","rsl"
"291","1846_541_NA_Московская сказка о чуде поганом / 2-е изд. с изд. 1842 г.","nlr_1"
"292","1846_542_NA_Талисман : Хитрая сказка про мудреное дело [в стихах].","nlr_1"
"293","1846_542_NA_Талисман : Хитрая сказка про мудреное дело [в стихах].","cz_slk"
"294","1846_545_Потапов В._Марьина роща и Сокольники, или Сказание о том, как молодые купчики пропускают сквозь бутылку отцовские денежки : (В стихах) : В 2 ч. и 7 карт. : С 7 новыми хоровыми цыган. и купеч. песнями / Соч. Василья Потапова","nlr_1"
"295","1846_547_Потапов В._Тайны Нижегородской ярмарки : Нравств.-сатирич. панорама в 4 карт., в стихах / Соч. Василия Потапова","nlr_1"
