"","work","signature"
"70","_1839_354_NA_Речи и стихи, произнесенные в торжественном собрании Ярославского  Демидовского лицея 15 января 1839 года","nlr_1"
"71","_1839_354_NA_Речи и стихи, произнесенные в торжественном собрании Ярославского  Демидовского лицея 15 января 1839 года","fi_sl"
"72","_1835_356_NA_Весенние цветы, или Собрание романсов, баллад и песен Пушкина, Жуковского, Козлова, Баратынского, Туманского, Ф. Глинки, Ознобишина, Раича, Маркевича, Вяземского и проч.","nlr_1"
"73","_1835_356_NA_Весенние цветы, или Собрание романсов, баллад и песен Пушкина, Жуковского, Козлова, Баратынского, Туманского, Ф. Глинки, Ознобишина, Раича, Маркевича, Вяземского и проч.","rsl"
"74","_1835_356_NA_Весенние цветы, или Собрание романсов, баллад и песен Пушкина, Жуковского, Козлова, Баратынского, Туманского, Ф. Глинки, Ознобишина, Раича, Маркевича, Вяземского и проч.","fi_sl"
"75","_1835_357_NA_Летопись факультетов на 1835 год, изданная в двух книгах А. Галичем и В. Плаксиным. Кн. 1.","nlr_1"
"76","_1835_357_NA_Летопись факультетов на 1835 год, изданная в двух книгах А. Галичем и В. Плаксиным. Кн. 1.","rsl"
"77","_1835_357_NA_Летопись факультетов на 1835 год, изданная в двух книгах А. Галичем и В. Плаксиным. Кн. 1.","ee_ester"
"78","_1835_357_NA_Летопись факультетов на 1835 год, изданная в двух книгах А. Галичем и В. Плаксиным. Кн. 1.","fi_sl"
"79","_1836_358_NA_Эвтерпа. Подарок любительницам и любителям пения. Собрание новейших романсов и песен. Изд. 2-е","nlr_1"
"80","_1836_358_NA_Эвтерпа. Подарок любительницам и любителям пения. Собрание новейших романсов и песен. Изд. 2-е","rsl"
"81","_1836_358_NA_Эвтерпа. Подарок любительницам и любителям пения. Собрание новейших романсов и песен. Изд. 2-е","fi_sl"
"82","_1841_377_Савостьянов К._Чувства детей, усердных к матушке царице, по случаю посещения, которым благоволила удостоить ее императорское величество государыня императрица Александра Феодоровна, город Воронеж августа: 13, 14, 15 и 16 дня 1837 года : [Стихи] / Соч. бобров. гражд. К. Савостьянова","nlr_1"
"83","_1841_377_Савостьянов К._Чувства детей, усердных к матушке царице, по случаю посещения, которым благоволила удостоить ее императорское величество государыня императрица Александра Феодоровна, город Воронеж августа: 13, 14, 15 и 16 дня 1837 года : [Стихи] / Соч. бобров. гражд. К. Савостьянова","rsl"
"84","_1843_443_Куликов Н.И.; Некрасов Н.А._Статейки в стихах : Без картинок. Т. 1","nlr_1"
"85","_1843_443_Куликов Н.И.; Некрасов Н.А._Статейки в стихах : Без картинок. Т. 1","rsl"
"86","_1843_444_Зотов В.Р.; Некрасов Н.А._Статейки в стихах : Без картинок. Т. 2","nlr_1"
"87","_1843_444_Зотов В.Р.; Некрасов Н.А._Статейки в стихах : Без картинок. Т. 2","rsl"
"88","_1834_624_Максимович М._Денница: Альманах","nlr_1"
"89","_1834_624_Максимович М._Денница: Альманах","fi_sl"
"90","_1834_625_NA_Подарок бедным: Альманах на 1834 год, изданный новороссийским женским обществом призрения бедных","nlr_1"
"91","_1834_625_NA_Подарок бедным: Альманах на 1834 год, изданный новороссийским женским обществом призрения бедных","rsl"
"92","_1834_625_NA_Подарок бедным: Альманах на 1834 год, изданный новороссийским женским обществом призрения бедных","cz_slk"
"93","_1834_625_NA_Подарок бедным: Альманах на 1834 год, изданный новороссийским женским обществом призрения бедных","fi_sl"
"94","_1834_626_NA_Досуги Марса: Литературные труды офицеров","rsl"
"95","_1834_627_NA_Новоселье. Ч. 2","nlr_1"
"96","_1834_627_NA_Новоселье. Ч. 2","rsl"
"97","_1834_627_NA_Новоселье. Ч. 2","us_harvard"
"98","_1834_627_NA_Новоселье. Ч. 2","cz_slk"
"99","_1834_627_NA_Новоселье. Ч. 2","ee_ester"
"100","_1834_628_NA_Пантеон дружбы на 1834 год. Собранный И. О-м","nlr_1"
