"","work","signature"
"136","1836_107_Лавров Н._Нравственные результаты XIX века, и стихотворения. Соч. Н. Лаврова","fi_sl"
"137","1836_111_Мейснер А._Стихотворения Алексея Мейснера","nlr_1"
"138","1836_111_Мейснер А._Стихотворения Алексея Мейснера","rsl"
"139","1836_111_Мейснер А._Стихотворения Алексея Мейснера","roz_1"
"140","1836_111_Мейснер А._Стихотворения Алексея Мейснера","us_harvard"
"141","1836_111_Мейснер А._Стихотворения Алексея Мейснера","cz_slk"
"142","1836_111_Мейснер А._Стихотворения Алексея Мейснера","fi_sl"
"143","1836_112_Полежаев А.И._Кальян. Стихотворения Полежаева / Изд. 2","nlr_1"
"144","1836_112_Полежаев А.И._Кальян. Стихотворения Полежаева / Изд. 2","rsl"
"145","1836_112_Полежаев А.И._Кальян. Стихотворения Полежаева / Изд. 2","cz_slk"
"146","1836_112_Полежаев А.И._Кальян. Стихотворения Полежаева / Изд. 2","fi_sl"
"147","1836_113_Пуговишников А.М._Песни, романсы и стихотворения А.П. / Изд. 2","nlr_1"
"148","1836_114_Суханов М._Время не праздно. Стихотворения крестьянина М. Суханова","nlr_1"
"149","1836_114_Суханов М._Время не праздно. Стихотворения крестьянина М. Суханова","rsl"
"150","1836_114_Суханов М._Время не праздно. Стихотворения крестьянина М. Суханова","cz_slk"
"151","1836_114_Суханов М._Время не праздно. Стихотворения крестьянина М. Суханова","fi_sl"
"152","1836_115_Суханов М._Мои сельские досуги","nlr_1"
"153","1836_115_Суханов М._Мои сельские досуги","rsl"
"154","1836_115_Суханов М._Мои сельские досуги","fi_sl"
"155","1836_117_Тепляков В.Г._Стихотворения Виктора Теплякова. Т. 2. Фракийские элегии. (Писаны в 1829-м г.). Стихотворения разных годов.","nlr_1"
"156","1836_117_Тепляков В.Г._Стихотворения Виктора Теплякова. Т. 2. Фракийские элегии. (Писаны в 1829-м г.). Стихотворения разных годов.","rsl"
"157","1836_117_Тепляков В.Г._Стихотворения Виктора Теплякова. Т. 2. Фракийские элегии. (Писаны в 1829-м г.). Стихотворения разных годов.","roz_1"
"158","1836_117_Тепляков В.Г._Стихотворения Виктора Теплякова. Т. 2. Фракийские элегии. (Писаны в 1829-м г.). Стихотворения разных годов.","fi_sl"
"159","1836_118_Тростин Х._Стихотворения Христофора Тростина","nlr_1"
"160","1836_118_Тростин Х._Стихотворения Христофора Тростина","rsl"
"161","1836_118_Тростин Х._Стихотворения Христофора Тростина","roz_1"
"162","1836_122_NA_Мечты при луне. Стихотворения","nlr_1"
"163","1836_124_Кульчицкий А._Надежда. Собрание сочинений в стихах и прозе / Изд. А. Кульчицкий [Студ. сб.]","nlr_1"
"164","1836_124_Кульчицкий А._Надежда. Собрание сочинений в стихах и прозе / Изд. А. Кульчицкий [Студ. сб.]","fi_sl"
"165","1836_128_Майков М._Басни Михайла Майкова","nlr_1"
"166","1836_128_Майков М._Басни Михайла Майкова","rsl"
"167","1836_130_А. Ф. Ф._Роза и Василек. Соч. А.Ф.Ф.","nlr_1"
"168","1836_131_Щукин К._Литературные занятия","nlr_1"
"169","1836_131_Щукин К._Литературные занятия","rsl"
"170","1836_131_Щукин К._Литературные занятия","cz_slk"
"171","1837_138_Бахтурин К.А._Стихотворения Константина Бахтурина","nlr_1"
"172","1837_138_Бахтурин К.А._Стихотворения Константина Бахтурина","rsl"
"173","1837_138_Бахтурин К.А._Стихотворения Константина Бахтурина","roz_1"
"174","1837_138_Бахтурин К.А._Стихотворения Константина Бахтурина","us_harvard"
"175","1837_141_Бернет Е._Стихи Е. Бернета","nlr_1"
"176","1837_141_Бернет Е._Стихи Е. Бернета","rsl"
"177","1837_141_Бернет Е._Стихи Е. Бернета","roz_1"
"178","1837_141_Бернет Е._Стихи Е. Бернета","fi_sl"
"179","1837_142_Бороздна И.П._Поэтические очерки Украины, Одессы и Крыма: Письма в стихах к гр. В.П. З[авадскому], Ивана Бороздны","nlr_1"
"180","1837_142_Бороздна И.П._Поэтические очерки Украины, Одессы и Крыма: Письма в стихах к гр. В.П. З[авадскому], Ивана Бороздны","rsl"
"181","1837_142_Бороздна И.П._Поэтические очерки Украины, Одессы и Крыма: Письма в стихах к гр. В.П. З[авадскому], Ивана Бороздны","roz_1"
"182","1837_142_Бороздна И.П._Поэтические очерки Украины, Одессы и Крыма: Письма в стихах к гр. В.П. З[авадскому], Ивана Бороздны","us_harvard"
"183","1837_142_Бороздна И.П._Поэтические очерки Украины, Одессы и Крыма: Письма в стихах к гр. В.П. З[авадскому], Ивана Бороздны","cz_slk"
"184","1837_142_Бороздна И.П._Поэтические очерки Украины, Одессы и Крыма: Письма в стихах к гр. В.П. З[авадскому], Ивана Бороздны","fi_sl"
"185","1837_143_Бутырский Н.И._И моя доля в сонетах. В 2 ч. Соч. Бутырского","nlr_1"
"186","1837_143_Бутырский Н.И._И моя доля в сонетах. В 2 ч. Соч. Бутырского","rsl"
"187","1837_143_Бутырский Н.И._И моя доля в сонетах. В 2 ч. Соч. Бутырского","roz_1"
"188","1837_143_Бутырский Н.И._И моя доля в сонетах. В 2 ч. Соч. Бутырского","us_harvard"
"189","1837_144_Быстроглазов А._Стихотворения А. Быстроглазова. В 2 ч. Ч. 1","nlr_1"
"190","1837_144_Быстроглазов А._Стихотворения А. Быстроглазова. В 2 ч. Ч. 1","rsl"
"191","1837_144_Быстроглазов А._Стихотворения А. Быстроглазова. В 2 ч. Ч. 1","cz_slk"
"192","1837_144_Быстроглазов А._Стихотворения А. Быстроглазова. В 2 ч. Ч. 1","pl_buw"
"193","1837_145_Быстроглазов А._Стихотворения А. Быстроглазова. В 2 ч. Ч. 2","nlr_1"
"194","1837_145_Быстроглазов А._Стихотворения А. Быстроглазова. В 2 ч. Ч. 2","rsl"
"195","1837_145_Быстроглазов А._Стихотворения А. Быстроглазова. В 2 ч. Ч. 2","us_harvard"
"196","1837_145_Быстроглазов А._Стихотворения А. Быстроглазова. В 2 ч. Ч. 2","cz_slk"
"197","1837_145_Быстроглазов А._Стихотворения А. Быстроглазова. В 2 ч. Ч. 2","pl_buw"
"198","1837_145_Быстроглазов А._Стихотворения А. Быстроглазова. В 2 ч. Ч. 2","fi_sl"
"199","1837_149_Дьячков С._Букет цветов или разные стихотворения, элегические романсы и песни для прекрасных девиц. Соч. С. Дьячковым","nlr_1"
"200","1837_149_Дьячков С._Букет цветов или разные стихотворения, элегические романсы и песни для прекрасных девиц. Соч. С. Дьячковым","rsl"
"201","1837_153_Кашаев В._Стихотворения Виктора Кашаева","nlr_1"
"202","1837_153_Кашаев В._Стихотворения Виктора Кашаева","rsl"
"203","1837_153_Кашаев В._Стихотворения Виктора Кашаева","roz_1"
"204","1837_153_Кашаев В._Стихотворения Виктора Кашаева","us_harvard"
"205","1837_154_Мартынов А._Поэтические произведения А. Мартынова. В 3-х кн.","nlr_1"
"206","1837_154_Мартынов А._Поэтические произведения А. Мартынова. В 3-х кн.","rsl"
"207","1837_154_Мартынов А._Поэтические произведения А. Мартынова. В 3-х кн.","us_harvard"
"208","1837_154_Мартынов А._Поэтические произведения А. Мартынова. В 3-х кн.","cz_slk"
