"","work","signature"
"90","1844_732_NA_Утро после бала Фамусова или Все старые знакомцы : Комедия-шутка в 1 д. в стихах.","nlr_1"
"91","1844_732_NA_Утро после бала Фамусова или Все старые знакомцы : Комедия-шутка в 1 д. в стихах.","rsl"
"92","1845_736_Полевой Н._Ермак Тимофеич, или Волга и Сибирь : Драм. представление в 5 д. [в стихах] / Соч. Н.А. Полевого.","nlr_1"
"93","1845_736_Полевой Н._Ермак Тимофеич, или Волга и Сибирь : Драм. представление в 5 д. [в стихах] / Соч. Н.А. Полевого.","rsl"
"94","1845_736_Полевой Н._Ермак Тимофеич, или Волга и Сибирь : Драм. представление в 5 д. [в стихах] / Соч. Н.А. Полевого.","lt_vul"
"95","1846_747_Кукольник Н._Генерал-поручик Паткуль : трагедия в 5-ти актах, в стихах / сочинение Нестора Кукольника","nlr_1"
"96","1846_747_Кукольник Н._Генерал-поручик Паткуль : трагедия в 5-ти актах, в стихах / сочинение Нестора Кукольника","rsl"
"97","1846_747_Кукольник Н._Генерал-поручик Паткуль : трагедия в 5-ти актах, в стихах / сочинение Нестора Кукольника","cz_slk"
"98","1846_747_Кукольник Н._Генерал-поручик Паткуль : трагедия в 5-ти актах, в стихах / сочинение Нестора Кукольника","ee_ester"
"99","1849_801_Григорьев П.И._Житейская школа : Ориг. комедия в 5 д. в стихах / Соч. П.И. Григорьева","nlr_1"
"100","1849_802_Григорьев П.И._Домашняя история : Ориг. комедия в 1 д., в стихах / Соч. П.И. Григорьева","nlr_1"
"101","1849_802_Григорьев П.И._Домашняя история : Ориг. комедия в 1 д., в стихах / Соч. П.И. Григорьева","rsl"
"102","1836_850_NA_Соперники : комедия в одном действии, в стихах Е. И. Шпаковскаго.","nlr_1"
"103","1836_850_NA_Соперники : комедия в одном действии, в стихах Е. И. Шпаковскаго.","rsl"
"104","1836_850_NA_Соперники : комедия в одном действии, в стихах Е. И. Шпаковскаго.","us_harvard"
"105","1850_853_Ростопчина Е._Нелюдимка : Драма в 5 д / Соч. гр. Е.П. Ростопчиной","nlr_1"
"106","1850_853_Ростопчина Е._Нелюдимка : Драма в 5 д / Соч. гр. Е.П. Ростопчиной","ee_ester"
"107","1841_871_Филимонов Н._Князь Серебряный, или, Отчизна и любовь : драма в четырех дѣйствіях в стихах : содержаніе заимствовано из повѣсти ""Наѣзды"" : представлена в превый раз на Александринском меатрѣ, 10 ноябр 1841 года, в пользу актрисы г-жи Самойловой 2","us_harvard"
