"","work","collection"
"76","1839_294_NA_Одесский Альманах, на 1840 год","us_harvard"
"77","1839_294_NA_Одесский Альманах, на 1840 год","cz_slk"
"78","1840_315_Эртель В.А._Цветник русской литературы, содержащий в себе избранные образцы из русских классиков, расположенные в систематическом порядке","nlr"
"79","1840_315_Эртель В.А._Цветник русской литературы, содержащий в себе избранные образцы из русских классиков, расположенные в систематическом порядке","rsl"
"80","1840_315_Эртель В.А._Цветник русской литературы, содержащий в себе избранные образцы из русских классиков, расположенные в систематическом порядке","ee_ester"
"81","1840_318_Бобылев Н.И._Невский альбом, издаваемый Николаем Бобылевым. Год второй. Т. 1.","nlr"
"82","1840_318_Бобылев Н.И._Невский альбом, издаваемый Николаем Бобылевым. Год второй. Т. 1.","rsl"
"83","1840_318_Бобылев Н.И._Невский альбом, издаваемый Николаем Бобылевым. Год второй. Т. 1.","cz_slk"
"84","1840_331_Владиславлев В._Утренняя заря Альманах Владиславлева на 1840 год. 2-й год","nlr"
"85","1840_331_Владиславлев В._Утренняя заря Альманах Владиславлева на 1840 год. 2-й год","rsl"
"86","1840_331_Владиславлев В._Утренняя заря Альманах Владиславлева на 1840 год. 2-й год","us_harvard"
"87","1840_331_Владиславлев В._Утренняя заря Альманах Владиславлева на 1840 год. 2-й год","pl_bn"
"88","1840_331_Владиславлев В._Утренняя заря Альманах Владиславлева на 1840 год. 2-й год","ee_ester"
"89","1840_334_Максимович М._Киевлянин на 1840 год. Книга I. Изд. Михаил Максимович","nlr"
"90","1840_334_Максимович М._Киевлянин на 1840 год. Книга I. Изд. Михаил Максимович","rsl"
"91","1840_334_Максимович М._Киевлянин на 1840 год. Книга I. Изд. Михаил Максимович","cz_slk"
"92","1841_341_Владиславлев В.А._Утренняя заря Альманах Владиславлева на 1841 год. 3-й год","nlr"
"93","1841_341_Владиславлев В.А._Утренняя заря Альманах Владиславлева на 1841 год. 3-й год","rsl"
"94","1841_341_Владиславлев В.А._Утренняя заря Альманах Владиславлева на 1841 год. 3-й год","us_harvard"
"95","1841_341_Владиславлев В.А._Утренняя заря Альманах Владиславлева на 1841 год. 3-й год","cz_slk"
"96","1841_341_Владиславлев В.А._Утренняя заря Альманах Владиславлева на 1841 год. 3-й год","ee_ester"
"97","1841_371_NA_Русская беседа : Собр. соч. рус. литераторов, изд. в пользу А.Ф. Смирдина: В 3 т. Т. 1","nlr"
"98","1841_371_NA_Русская беседа : Собр. соч. рус. литераторов, изд. в пользу А.Ф. Смирдина: В 3 т. Т. 1","rsl"
"99","1841_371_NA_Русская беседа : Собр. соч. рус. литераторов, изд. в пользу А.Ф. Смирдина: В 3 т. Т. 1","us_harvard"
"100","1841_371_NA_Русская беседа : Собр. соч. рус. литераторов, изд. в пользу А.Ф. Смирдина: В 3 т. Т. 1","cz_slk"
"101","1841_371_NA_Русская беседа : Собр. соч. рус. литераторов, изд. в пользу А.Ф. Смирдина: В 3 т. Т. 1","ee_ester"
"102","1841_371_NA_Русская беседа : Собр. соч. рус. литераторов, изд. в пользу А.Ф. Смирдина: В 3 т. Т. 1","fi_sl"
"103","1841_372_NA_Русская беседа : Собр. соч. рус. литераторов, изд. в пользу А.Ф. Смирдина: В 3 т. Т. 2","nlr"
"104","1841_372_NA_Русская беседа : Собр. соч. рус. литераторов, изд. в пользу А.Ф. Смирдина: В 3 т. Т. 2","rsl"
"105","1841_372_NA_Русская беседа : Собр. соч. рус. литераторов, изд. в пользу А.Ф. Смирдина: В 3 т. Т. 2","us_harvard"
"106","1841_372_NA_Русская беседа : Собр. соч. рус. литераторов, изд. в пользу А.Ф. Смирдина: В 3 т. Т. 2","cz_slk"
"107","1841_372_NA_Русская беседа : Собр. соч. рус. литераторов, изд. в пользу А.Ф. Смирдина: В 3 т. Т. 2","ee_ester"
"108","1841_372_NA_Русская беседа : Собр. соч. рус. литераторов, изд. в пользу А.Ф. Смирдина: В 3 т. Т. 2","fi_sl"
"109","1841_379_Максимович М._Киевлянин / Изд. Михаилом Максимовичем. Кн. 1. Кн. 2. [На 1841 год]","nlr"
"110","1841_379_Максимович М._Киевлянин / Изд. Михаилом Максимовичем. Кн. 1. Кн. 2. [На 1841 год]","rsl"
"111","1841_379_Максимович М._Киевлянин / Изд. Михаилом Максимовичем. Кн. 1. Кн. 2. [На 1841 год]","cz_slk"
"112","1842_414_NA_Русская беседа : Собр. соч. рус. литераторов, изд. в пользу А.Ф. Смирдина: В 3 т. Т. 3","nlr"
"113","1842_414_NA_Русская беседа : Собр. соч. рус. литераторов, изд. в пользу А.Ф. Смирдина: В 3 т. Т. 3","rsl"
"114","1842_414_NA_Русская беседа : Собр. соч. рус. литераторов, изд. в пользу А.Ф. Смирдина: В 3 т. Т. 3","us_harvard"
"115","1842_414_NA_Русская беседа : Собр. соч. рус. литераторов, изд. в пользу А.Ф. Смирдина: В 3 т. Т. 3","cz_slk"
"116","1842_414_NA_Русская беседа : Собр. соч. рус. литераторов, изд. в пользу А.Ф. Смирдина: В 3 т. Т. 3","fi_sl"
"117","1842_417_Милюков (изд.)_Альбом избранных стихотворений / [Изд. шт.-кап. Милюковым]. [Ч. 1]","nlr"
"118","1842_419_NA_Подземные ключи : [Сб. стихов и прозы] / Изд. кн. Н. Мансырев.","nlr"
"119","1842_419_NA_Подземные ключи : [Сб. стихов и прозы] / Изд. кн. Н. Мансырев.","rsl"
"120","1842_419_NA_Подземные ключи : [Сб. стихов и прозы] / Изд. кн. Н. Мансырев.","cz_slk"
"121","1842_421_NA_Литературный кабинет. [Ч. 1. Ч. 2, Проза. Стихотворения] : Тр. артистов имп. моск. театров / [Соч.] П.С. Мочалова, Д.Т. Ленского, А.П. Славина [и др.].","nlr"
"122","1842_421_NA_Литературный кабинет. [Ч. 1. Ч. 2, Проза. Стихотворения] : Тр. артистов имп. моск. театров / [Соч.] П.С. Мочалова, Д.Т. Ленского, А.П. Славина [и др.].","rsl"
"123","1842_421_NA_Литературный кабинет. [Ч. 1. Ч. 2, Проза. Стихотворения] : Тр. артистов имп. моск. театров / [Соч.] П.С. Мочалова, Д.Т. Ленского, А.П. Славина [и др.].","cz_slk"
"124","1842_422_Владиславлев В. (изд.)_Утренняя заря Альманах Владиславлева на 1842 год. 4-й год","nlr"
"125","1842_422_Владиславлев В. (изд.)_Утренняя заря Альманах Владиславлева на 1842 год. 4-й год","rsl"
"126","1842_422_Владиславлев В. (изд.)_Утренняя заря Альманах Владиславлева на 1842 год. 4-й год","us_harvard"
"127","1842_422_Владиславлев В. (изд.)_Утренняя заря Альманах Владиславлева на 1842 год. 4-й год","cz_slk"
"128","1842_422_Владиславлев В. (изд.)_Утренняя заря Альманах Владиславлева на 1842 год. 4-й год","ee_ester"
"129","1843_440_Куликов Н.И.; Некрасов Н.А._Статейки в стихах : Без картинок. Т. 1","nlr"
"130","1843_440_Куликов Н.И.; Некрасов Н.А._Статейки в стихах : Без картинок. Т. 1","rsl"
"131","1843_441_Зотов В.Р.; Некрасов Н.А._Статейки в стихах : Без картинок. Т. 2","nlr"
"132","1843_441_Зотов В.Р.; Некрасов Н.А._Статейки в стихах : Без картинок. Т. 2","rsl"
