"","work","collection"
"118","1835_86_NA_Весенняя ветка. Стихотворения","rozanov"
"119","1835_86_NA_Весенняя ветка. Стихотворения","fi_sl"
"120","1835_86_NA_Весенняя ветка. Стихотворения","spbgu"
"121","1835_87_Т-м-ф-в_Песни: В 2 ч.","nlr"
"122","1835_87_Т-м-ф-в_Песни: В 2 ч.","rsl"
"123","1835_87_Т-м-ф-в_Песни: В 2 ч.","rozanov"
"124","1835_87_Т-м-ф-в_Песни: В 2 ч.","fi_sl"
"125","1835_87_Т-м-ф-в_Песни: В 2 ч.","spbgu"
"126","1835_90_Цитович Н._Басни Н. Цитовича","nlr"
"127","1835_90_Цитович Н._Басни Н. Цитовича","us_harvard"
"128","1835_91_Бенедиктов В._Стихотворения Владимира Бенедиктова","nlr"
"129","1835_91_Бенедиктов В._Стихотворения Владимира Бенедиктова","rsl"
"130","1835_91_Бенедиктов В._Стихотворения Владимира Бенедиктова","rozanov"
"131","1835_91_Бенедиктов В._Стихотворения Владимира Бенедиктова","fi_sl"
"132","1835_91_Бенедиктов В._Стихотворения Владимира Бенедиктова","spbgu"
"133","1835_93_Жуковский В.А._Стихотворения Василья Жуковского: В 8 ч. / Изд. 4-е. Т. 2. Романсы и песни. Элегии. Послания","nlr"
"134","1835_93_Жуковский В.А._Стихотворения Василья Жуковского: В 8 ч. / Изд. 4-е. Т. 2. Романсы и песни. Элегии. Послания","rsl"
"135","1835_93_Жуковский В.А._Стихотворения Василья Жуковского: В 8 ч. / Изд. 4-е. Т. 2. Романсы и песни. Элегии. Послания","rozanov"
"136","1835_93_Жуковский В.А._Стихотворения Василья Жуковского: В 8 ч. / Изд. 4-е. Т. 2. Романсы и песни. Элегии. Послания","cz_slk"
"137","1835_93_Жуковский В.А._Стихотворения Василья Жуковского: В 8 ч. / Изд. 4-е. Т. 2. Романсы и песни. Элегии. Послания","ee_ester"
"138","1835_96_Зилов А._Басни Алексея Зилова. Ч. 5","nlr"
"139","1835_96_Зилов А._Басни Алексея Зилова. Ч. 5","rsl"
"140","1835_102_Хлебников Н._Подарок друзьям в Новый год : [Сб. стихотворений] Н. Х.......ва","nlr"
"141","1836_113_Меркли М._Стихотворения Михаила Меркли","nlr"
"142","1836_113_Меркли М._Стихотворения Михаила Меркли","rozanov"
"143","1836_114_Аполлон де ***_Стихотворения Аполлона де ***","nlr"
"144","1836_114_Аполлон де ***_Стихотворения Аполлона де ***","rsl"
"145","1836_114_Аполлон де ***_Стихотворения Аполлона де ***","rozanov"
"146","1836_114_Аполлон де ***_Стихотворения Аполлона де ***","cz_slk"
"147","1836_118_Зилов А._Стихотворения Алексея Зилова. Тетрадь 2-я","nlr"
"148","1836_118_Зилов А._Стихотворения Алексея Зилова. Тетрадь 2-я","fi_sl"
"149","1836_120_Кашкин Д._Сочинения Дмитрия Кашкина: В 3 т. Т. 1","nlr"
"150","1836_120_Кашкин Д._Сочинения Дмитрия Кашкина: В 3 т. Т. 1","rsl"
"151","1836_120_Кашкин Д._Сочинения Дмитрия Кашкина: В 3 т. Т. 1","rozanov"
"152","1836_124_Мейснер А._Стихотворения Алексея Мейснера","nlr"
"153","1836_124_Мейснер А._Стихотворения Алексея Мейснера","rsl"
"154","1836_124_Мейснер А._Стихотворения Алексея Мейснера","rozanov"
"155","1836_124_Мейснер А._Стихотворения Алексея Мейснера","us_harvard"
"156","1836_124_Мейснер А._Стихотворения Алексея Мейснера","cz_slk"
"157","1836_124_Мейснер А._Стихотворения Алексея Мейснера","fi_sl"
"158","1836_124_Мейснер А._Стихотворения Алексея Мейснера","spbgu"
"159","1836_127_Суханов М._Время не праздно. Стихотворения крестьянина М. Суханова","nlr"
"160","1836_127_Суханов М._Время не праздно. Стихотворения крестьянина М. Суханова","rsl"
"161","1836_127_Суханов М._Время не праздно. Стихотворения крестьянина М. Суханова","cz_slk"
"162","1836_127_Суханов М._Время не праздно. Стихотворения крестьянина М. Суханова","fi_sl"
"163","1836_127_Суханов М._Время не праздно. Стихотворения крестьянина М. Суханова","spbgu"
"164","1836_128_Суханов М._Мои сельские досуги","nlr"
"165","1836_128_Суханов М._Мои сельские досуги","rsl"
"166","1836_128_Суханов М._Мои сельские досуги","fi_sl"
"167","1836_128_Суханов М._Мои сельские досуги","spbgu"
"168","1836_129_Тепляков В.Г._Стихотворения Виктора Теплякова. Т. 2. Фракийские элегии. (Писаны в 1829-м г.). Стихотворения разных годов.","nlr"
"169","1836_129_Тепляков В.Г._Стихотворения Виктора Теплякова. Т. 2. Фракийские элегии. (Писаны в 1829-м г.). Стихотворения разных годов.","rsl"
"170","1836_129_Тепляков В.Г._Стихотворения Виктора Теплякова. Т. 2. Фракийские элегии. (Писаны в 1829-м г.). Стихотворения разных годов.","rozanov"
"171","1836_129_Тепляков В.Г._Стихотворения Виктора Теплякова. Т. 2. Фракийские элегии. (Писаны в 1829-м г.). Стихотворения разных годов.","fi_sl"
"172","1836_129_Тепляков В.Г._Стихотворения Виктора Теплякова. Т. 2. Фракийские элегии. (Писаны в 1829-м г.). Стихотворения разных годов.","spbgu"
"173","1836_130_Тростин Х._Стихотворения Христофора Тростина","nlr"
