"","work","signature"
"140","754_Глебов Л._Стихотворения. 1845 и 1846 / [Соч.] Леонида Глебова.","nlr_1"
"141","757_Михайловский Н._Некоторые из духовных стихотворений Николая Михайловского","nlr_1"
"142","757_Михайловский Н._Некоторые из духовных стихотворений Николая Михайловского","rsl"
"143","762_Остроумов И._Часы моей фантазии : Стихотворения Ивана Остроумова, крестьянина гр. Александра Никитича Панина, Владимир. губ., Гороховец. уезда, села Нижнего Ландеха. Посвящаются любителям поэзии. Ч. 1","nlr_1"
"144","764_Дуров Н._Стихотворения / [Соч.] Николая Дурова","nlr_1"
"145","772_Тимошурин К._Разные стихотворения Козьмы Тимошурина","nlr_1"
"146","773_Покотилов Г._Стихотворения, сочиненные Гавриилом Покотиловым","nlr_1"
"147","777_Покотилов Г._Увы! - без надежды, или Пагубное последствие пылкой страсти [и др. стихотворения] / Соч. Гавриила Покотилова.","nlr_1"
"148","790_Любецкий С._Панорама народной русской жизни, особенно московской (представляющая замечательные местности Москвы и ее окрестностей, народные гулянья, праздники, торжища, нравств.-юморист. сцены, типы нравов и вообще соврем. быт наш с некоторыми воспоминаниями о старине) : Нечто вроде альманаха на 1848 г / [Соч.] С. Любецкого.","nlr_1"
"149","792_А. С…._Смесь : [Стихотворения] / Соч. А. С......","nlr_1"
"150","798_Максимов М._Памятник дум, чувств и упований : [Стихотворения] / Соч. М. Максимова","nlr_1"
"151","798_Максимов М._Памятник дум, чувств и упований : [Стихотворения] / Соч. М. Максимова","rsl"
"152","805_Татаринов П._Новая слава России, или Наши в Венгрии : Соврем. воен. альбом : [Стихи] / Соч. Петра Татаринова.","nlr_1"
"153","807_Глебов А._Прощальный привет родине : Два стихотворения Александра Глебова","nlr_1"
"154","810_NA_Стихотворения на кончину его императорского высочества государя великого князя Михаила Павловича","nlr_1"
"155","810_NA_Стихотворения на кончину его императорского высочества государя великого князя Михаила Павловича","rsl"
"156","810_NA_Стихотворения на кончину его императорского высочества государя великого князя Михаила Павловича","lt_vul"
"157","822_Бригер Г._Стихотворения / [Соч.] Григория Бригера","nlr_1"
"158","822_Бригер Г._Стихотворения / [Соч.] Григория Бригера","rsl"
"159","823_Додаев-Магарский И._Стихотворения / [Соч.] Ивана Додаева-Магарского","nlr_1"
"160","824_Г.Г.Р._Стихотворения / Г.Г.Р. 1.","nlr_1"
"161","832_Неудачев И._Стихотворения Иосафа Неудачева","nlr_1"
"162","843_Севостьянов К._Досуги в стихах и прозе бобровского гражданина Константина Севостьянова / П.В.Ф.","nlr_1"
"163","843_Севостьянов К._Досуги в стихах и прозе бобровского гражданина Константина Севостьянова / П.В.Ф.","rsl"
